City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,san pedro pochutla,15.7333,-96.4667,91.11200000000004,60,86,2.38,MX,2024-11-12
113,huayin,34.5675,110.0921,59.25200000000008,81,98,1.67,CN,2024-11-12
114,sao joao da barra,-21.6403,-41.0511,91.49000000000002,79,2,5.36,BR,2024-11-12
115,fort st. john,56.2499,-120.8529,17.491999999999997,79,75,1.54,CA,2024-11-12
116,faya-largeau,17.9257,19.1043,78.04400000000007,17,1,5.57,TD,2024-11-12
117,coquimbo,-29.9533,-71.3436,64.97600000000008,61,40,7.72,CL,2024-11-12
118,puerto baquerizo moreno,-0.9,-89.6,77.99000000000002,61,20,5.66,EC,2024-11-12
119,vacaria,-28.5122,-50.9339,61.268000000000086,46,100,3.58,BR,2024-11-12
120,gummi,12.1436,5.1081,84.41600000000001,26,8,3.22,NG,2024-11-12
121,boende,-0.2167,20.8667,76.38800000000005,79,98,1.21,CD,2024-11-12
122,rio san juan,19.6439,-70.0763,84.32600000000009,71,95,4.9,DO,2024-11-12
123,baltasi,56.3462,50.2062,29.156000000000027,89,97,5.42,RU,2024-11-12
124,caibarien,22.5206,-79.4669,82.09400000000008,82,37,5.66,CU,2024-11-12
125,onguday,50.75,86.15,10.544000000000077,77,2,1.64,RU,2024-11-12
126,rach gia,10.0167,105.0833,81.57200000000003,78,93,1.87,VN,2024-11-12
127,arraial do cabo,-22.9661,-42.0278,93.16400000000004,51,0,6.69,BR,2024-11-12
128,tazovsky,67.4667,78.7,-9.417999999999983,94,85,5.12,RU,2024-11-12
129,nar'yan-mar,67.6713,53.087,15.008000000000004,81,100,5.19,RU,2024-11-12
130,anthiyur,11.5833,77.6,79.68200000000002,77,99,0.89,IN,2024-11-12
131,pontes e lacerda,-15.2261,-59.3353,81.35600000000002,83,92,2.5,BR,2024-11-12
132,timmins,48.4669,-81.3331,26.420000000000066,93,100,2.57,CA,2024-11-12
133,la peca,-5.6111,-78.435,91.634,28,51,1.36,PE,2024-11-12
134,tura,25.5198,90.2201,65.37200000000004,86,0,1.73,IN,2024-11-12
135,ghanzi,-21.5667,21.7833,81.96800000000009,35,62,3.79,BW,2024-11-12
136,praia da vitoria,38.7333,-27.0667,70.05200000000008,88,40,6.99,PT,2024-11-12
137,port elizabeth,-33.918,25.5701,64.68800000000005,92,20,11.83,ZA,2024-11-12
138,barcelos,41.5388,-8.6151,56.642,76,41,1.93,PT,2024-11-12
139,toliara,-23.35,43.6667,77.03600000000007,69,93,5.62,MG,2024-11-12
140,enewetak,11.3474,162.3373,82.92200000000004,76,79,4.53,MH,2024-11-12
141,flying fish cove,-10.4217,105.6791,78.47600000000008,94,100,3.09,CX,2024-11-12
142,labuan,5.2767,115.2417,79.16000000000008,100,40,0.0,MY,2024-11-12
143,shibetsu,43.659,145.132,38.31800000000008,68,73,10.8,JP,2024-11-12
144,ahfir,34.9537,-2.1003,66.81200000000005,70,0,0.97,MA,2024-11-12
145,howrah,22.5892,88.3103,77.0,73,20,0.0,IN,2024-11-12
146,st. john's,47.5649,-52.7093,55.56200000000005,98,100,6.17,CA,2024-11-12
147,badger,64.8,-147.5333,5.252000000000077,93,100,0.9,US,2024-11-12
148,kalevala,65.2,31.1667,33.29600000000005,99,100,2.26,RU,2024-11-12
149,tabas,33.5959,56.9244,67.01000000000008,34,53,1.62,IR,2024-11-12
150,nandurbar,21.3667,74.25,76.74800000000002,38,41,2.12,IN,2024-11-12
151,la'ie,21.6477,-157.9253,76.1,79,32,2.24,US,2024-11-12
152,polyarnyy,69.1989,33.4478,34.80800000000001,86,100,3.17,RU,2024-11-12
153,santa branca,-23.3967,-45.8839,92.87600000000008,31,40,5.14,BR,2024-11-12
154,port augusta,-32.5,137.7667,61.556000000000026,69,68,7.6,AU,2024-11-12
155,san sebastian de la gomera,28.0916,-17.1133,73.76000000000008,73,20,3.6,ES,2024-11-12
156,kaa-khem,51.6833,94.7333,15.458000000000006,57,72,2.77,RU,2024-11-12
157,itacare,-14.2775,-38.9967,80.76200000000006,71,32,4.98,BR,2024-11-12
158,belel,7.05,14.4333,69.47600000000008,53,45,1.8,CM,2024-11-12
159,hermanus,-34.4187,19.2345,62.79800000000002,84,11,1.29,ZA,2024-11-12
160,yarmouth,41.7057,-70.2286,53.94199999999999,62,0,14.31,US,2024-11-12
161,taoudenni,22.6783,-3.9836,83.37200000000004,15,0,2.99,ML,2024-11-12
162,merizo village,13.2658,144.6691,79.358,90,100,8.4,GU,2024-11-12
163,klyuchi,52.2667,79.1667,16.88000000000004,78,99,4.89,RU,2024-11-12
164,bikenibeu village,1.3673,173.1241,80.56400000000004,78,20,4.63,KI,2024-11-12
165,utrik,11.2278,169.8474,83.22800000000007,72,46,6.82,MH,2024-11-12
166,vadso,70.0744,29.7487,37.56200000000005,87,75,3.09,NO,2024-11-12
167,kingston,17.997,-76.7936,90.158,74,20,3.6,JM,2024-11-12
168,punta arenas,-53.15,-70.9167,51.908,82,20,5.66,CL,2024-11-12
169,keflavik,64.0049,-22.5624,45.03200000000002,65,100,18.01,IS,2024-11-12
170,georgetown,5.4112,100.3354,82.32800000000006,87,40,1.03,MY,2024-11-12
171,auki,-8.7676,160.7034,77.43200000000002,90,100,1.78,SB,2024-11-12
172,aykhal,66.0,111.5,2.1200000000000614,99,100,2.14,RU,2024-11-12
173,karratha,-20.7377,116.8463,82.68800000000005,47,2,5.78,AU,2024-11-12
174,mawlaik,23.6333,94.4167,68.46800000000009,91,83,0.38,MM,2024-11-12
175,baoding,38.8511,115.4903,54.17600000000009,70,100,1.09,CN,2024-11-12
176,holualoa,19.6228,-155.9522,70.82600000000009,84,40,1.54,US,2024-11-12
